match_id,date,home_team,away_team,stadium,city,country,group
26,2026-06-18,Switzerland,Bosnia and Herzegovina,SoFi Stadium,Inglewood,USA,B
27,2026-06-18,Canada,Qatar,BC Place,Vancouver,Canada,B
28,2026-06-18,Mexico,South Korea,Estadio Akron,Zapopan,Mexico,A
29,2026-06-19,Brazil,Haiti,Lincoln Financial Field,Philadelphia,USA,C
30,2026-06-19,Scotland,Morocco,Gillette Stadium,Foxborough,USA,C
31,2026-06-19,Turkey,Paraguay,Levi's Stadium,Santa Clara,USA,D
32,2026-06-19,USA,Australia,Lumen Field,Seattle,USA,D
33,2026-06-20,Germany,Ivory Coast,BMO Field,Toronto,Canada,E
34,2026-06-20,Ecuador,Curacao,Arrowhead Stadium,Kansas City,USA,E
35,2026-06-20,Netherlands,Sweden,NRG Stadium,Houston,USA,F
36,2026-06-20,Tunisia,Japan,Estadio BBVA,Guadalupe,Mexico,F
37,2026-06-21,Uruguay,Cape Verde,Hard Rock Stadium,Miami Gardens,USA,H
38,2026-06-21,Spain,Saudi Arabia,Mercedes-Benz Stadium,Atlanta,USA,H
39,2026-06-21,Belgium,Iran,SoFi Stadium,Inglewood,USA,G
40,2026-06-21,New Zealand,Egypt,BC Place,Vancouver,Canada,G
41,2026-06-22,Norway,Senegal,MetLife Stadium,East Rutherford,USA,I
42,2026-06-22,France,Iraq,Lincoln Financial Field,Philadelphia,USA,I
43,2026-06-22,Argentina,Austria,AT&T Stadium,Arlington,USA,J
44,2026-06-22,Jordan,Algeria,Levi's Stadium,Santa Clara,USA,J
45,2026-06-23,England,Ghana,Gillette Stadium,Foxborough,USA,L
46,2026-06-23,Panama,Croatia,BMO Field,Toronto,Canada,L
47,2026-06-23,Portugal,Uzbekistan,NRG Stadium,Houston,USA,K
48,2026-06-23,Colombia,DR Congo,Estadio Akron,Zapopan,Mexico,K
49,2026-06-24,Scotland,Brazil,Hard Rock Stadium,Miami Gardens,USA,C
50,2026-06-24,Morocco,Haiti,Mercedes-Benz Stadium,Atlanta,USA,C
51,2026-06-24,Switzerland,Canada,BC Place,Vancouver,Canada,B
52,2026-06-24,Bosnia and Herzegovina,Qatar,Lumen Field,Seattle,USA,B
53,2026-06-24,Czechia,Mexico,Estadio Azteca,Mexico City,Mexico,A
54,2026-06-24,South Africa,South Korea,Estadio BBVA,Guadalupe,Mexico,A
55,2026-06-25,Curacao,Ivory Coast,Lincoln Financial Field,Philadelphia,USA,E
56,2026-06-25,Ecuador,Germany,MetLife Stadium,East Rutherford,USA,E
57,2026-06-25,Japan,Sweden,AT&T Stadium,Arlington,USA,F
58,2026-06-25,Tunisia,Netherlands,Arrowhead Stadium,Kansas City,USA,F
59,2026-06-25,Turkey,USA,SoFi Stadium,Inglewood,USA,D
60,2026-06-25,Paraguay,Australia,Levi's Stadium,Santa Clara,USA,D
61,2026-06-26,Norway,France,Gillette Stadium,Foxborough,USA,I
62,2026-06-26,Senegal,Iraq,BMO Field,Toronto,Canada,I
63,2026-06-26,Egypt,Iran,Lumen Field,Seattle,USA,G
64,2026-06-26,New Zealand,Belgium,BC Place,Vancouver,Canada,G
65,2026-06-26,Cape Verde,Saudi Arabia,NRG Stadium,Houston,USA,H
66,2026-06-26,Uruguay,Spain,Estadio Akron,Zapopan,Mexico,H
67,2026-06-27,Panama,England,MetLife Stadium,East Rutherford,USA,L
68,2026-06-27,Croatia,Ghana,Lincoln Financial Field,Philadelphia,USA,L
69,2026-06-27,Algeria,Austria,Arrowhead Stadium,Kansas City,USA,J
70,2026-06-27,Jordan,Argentina,AT&T Stadium,Arlington,USA,J
71,2026-06-27,Colombia,Portugal,Hard Rock Stadium,Miami Gardens,USA,K
72,2026-06-27,DR Congo,Uzbekistan,Mercedes-Benz Stadium,Atlanta,USA,K
