match_id,date,stage,group,home_team,away_team,stadium,city,country,tournament,neutral,home_score,away_score,home_score_90,away_score_90,home_score_120,away_score_120,went_extra_time,went_penalties,penalty_winner,first_shooter
62,2026-06-26,Group,I,Senegal,Iraq,BMO Field,Toronto,Canada,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
63,2026-06-26,Group,G,Egypt,Iran,Lumen Field,Seattle,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
64,2026-06-26,Group,G,New Zealand,Belgium,BC Place,Vancouver,Canada,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65,2026-06-26,Group,H,Cape Verde,Saudi Arabia,NRG Stadium,Houston,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
66,2026-06-26,Group,H,Uruguay,Spain,Estadio Akron,Zapopan,Mexico,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
67,2026-06-27,Group,L,Panama,England,MetLife Stadium,East Rutherford,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
68,2026-06-27,Group,L,Croatia,Ghana,Lincoln Financial Field,Philadelphia,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
69,2026-06-27,Group,J,Algeria,Austria,Arrowhead Stadium,Kansas City,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70,2026-06-27,Group,J,Jordan,Argentina,AT&T Stadium,Arlington,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
71,2026-06-27,Group,K,Colombia,Portugal,Hard Rock Stadium,Miami Gardens,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
72,2026-06-27,Group,K,DR Congo,Uzbekistan,Mercedes-Benz Stadium,Atlanta,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
73,2026-06-28,Round of 32,NA,Runner-up Group A,Runner-up Group B,SoFi Stadium,Inglewood,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
74,2026-06-29,Round of 32,NA,Winner Group E,3rd Group A/B/C/D/F,Gillette Stadium,Foxborough,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75,2026-06-29,Round of 32,NA,Winner Group F,Runner-up Group C,Estadio BBVA,Guadalupe,Mexico,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
76,2026-06-29,Round of 32,NA,Winner Group C,Runner-up Group F,NRG Stadium,Houston,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
77,2026-06-30,Round of 32,NA,Winner Group I,3rd Group C/D/F/G/H,MetLife Stadium,East Rutherford,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
78,2026-06-30,Round of 32,NA,Runner-up Group E,Runner-up Group I,AT&T Stadium,Arlington,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
79,2026-06-30,Round of 32,NA,Winner Group A,3rd Group C/E/F/H/I,Estadio Azteca,Mexico City,Mexico,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80,2026-07-01,Round of 32,NA,Winner Group L,3rd Group E/H/I/J/K,Mercedes-Benz Stadium,Atlanta,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
81,2026-07-01,Round of 32,NA,Winner Group D,3rd Group B/E/F/I/J,Levi's Stadium,Santa Clara,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
82,2026-07-01,Round of 32,NA,Winner Group G,3rd Group A/E/H/I/J,Lumen Field,Seattle,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
83,2026-07-02,Round of 32,NA,Runner-up Group K,Runner-up Group L,BMO Field,Toronto,Canada,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
84,2026-07-02,Round of 32,NA,Winner Group H,Runner-up Group J,SoFi Stadium,Inglewood,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85,2026-07-02,Round of 32,NA,Winner Group B,3rd Group E/F/G/I/J,BC Place,Vancouver,Canada,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
86,2026-07-03,Round of 32,NA,Winner Group J,Runner-up Group H,Hard Rock Stadium,Miami Gardens,USA,FIFA World Cup,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
