country,flag_source
"Sri Lanka",https://api.fifa.com/api/v3/picture/flags-sq-2/SRI
"St Kitts and Nevis",https://api.fifa.com/api/v3/picture/flags-sq-2/SKN
"St Lucia",https://api.fifa.com/api/v3/picture/flags-sq-2/LCA
"St Vincent and the Grenadines",https://api.fifa.com/api/v3/picture/flags-sq-2/VIN
"Sudan",https://api.fifa.com/api/v3/picture/flags-sq-2/SDN
"Suriname",https://api.fifa.com/api/v3/picture/flags-sq-2/SUR
"Sweden",https://api.fifa.com/api/v3/picture/flags-sq-2/SWE
"Switzerland",https://api.fifa.com/api/v3/picture/flags-sq-2/SUI
"Syria",https://api.fifa.com/api/v3/picture/flags-sq-2/SYR
"Tahiti",https://api.fifa.com/api/v3/picture/flags-sq-2/TAH
"Tajikistan",https://api.fifa.com/api/v3/picture/flags-sq-2/TJK
"Tanzania",https://api.fifa.com/api/v3/picture/flags-sq-2/TAN
"Thailand",https://api.fifa.com/api/v3/picture/flags-sq-2/THA
"The Gambia",https://api.fifa.com/api/v3/picture/flags-sq-2/GAM
"Timor-Leste",https://api.fifa.com/api/v3/picture/flags-sq-2/TLS
"Togo",https://api.fifa.com/api/v3/picture/flags-sq-2/TOG
"Tonga",https://api.fifa.com/api/v3/picture/flags-sq-2/TGA
"Trinidad and Tobago",https://api.fifa.com/api/v3/picture/flags-sq-2/TRI
"Tunisia",https://api.fifa.com/api/v3/picture/flags-sq-2/TUN
"Türkiye",https://api.fifa.com/api/v3/picture/flags-sq-2/TUR
"Turkmenistan",https://api.fifa.com/api/v3/picture/flags-sq-2/TKM
"Turks and Caicos Islands",https://api.fifa.com/api/v3/picture/flags-sq-2/TCA
"Uganda",https://api.fifa.com/api/v3/picture/flags-sq-2/UGA
"Ukraine",https://api.fifa.com/api/v3/picture/flags-sq-2/UKR
"United Arab Emirates",https://api.fifa.com/api/v3/picture/flags-sq-2/UAE
"Uruguay",https://api.fifa.com/api/v3/picture/flags-sq-2/URU
"US Virgin Islands",https://api.fifa.com/api/v3/picture/flags-sq-2/VIR
"USA",https://api.fifa.com/api/v3/picture/flags-sq-2/USA
"Uzbekistan",https://api.fifa.com/api/v3/picture/flags-sq-2/UZB
"Vanuatu",https://api.fifa.com/api/v3/picture/flags-sq-2/VAN
"Venezuela",https://api.fifa.com/api/v3/picture/flags-sq-2/VEN
"Vietnam",https://api.fifa.com/api/v3/picture/flags-sq-2/VIE
"Wales",https://api.fifa.com/api/v3/picture/flags-sq-2/WAL
"Yemen",https://api.fifa.com/api/v3/picture/flags-sq-2/YEM
"Zambia",https://api.fifa.com/api/v3/picture/flags-sq-2/ZAM
"Zimbabwe",https://api.fifa.com/api/v3/picture/flags-sq-2/ZIM
